"Name","Slug","Path"
"Flame Link","flame-link","gem/skill/flame-link.png"
"Frost Bomb","frost-bomb","gem/skill/frost-bomb.png"
"Cold Snap","cold-snap","gem/skill/cold-snap.png"
"Armageddon Brand of Recall","armageddon-brand-of-recall","gem/skill/armageddon-brand-of-recall.png"
"Pride","pride","gem/skill/pride.png"
"Caustic Arrow of Poison","caustic-arrow-of-poison","gem/skill/caustic-arrow-of-poison.png"
"Shield Crush","shield-crush","gem/skill/shield-crush.png"
"Tornado","tornado","gem/skill/tornado.png"
"Blink Arrow","blink-arrow","gem/skill/blink-arrow.png"
"Spark of the Nova","spark-of-the-nova","gem/skill/spark-of-the-nova.png"
"Tornado Shot","tornado-shot","gem/skill/tornado-shot.png"
"Storm Brand of Indecision","storm-brand-of-indecision","gem/skill/storm-brand-of-indecision.png"
"Wrath","wrath","gem/skill/wrath.png"
"Determination","determination","gem/skill/determination.png"
"Summon Skeletons of Mages","summon-skeletons-of-mages","gem/skill/summon-skeletons-of-mages.png"
"Icicle Mine of Fanning","icicle-mine-of-fanning","gem/skill/icicle-mine-of-fanning.png"
"Storm Rain","storm-rain","gem/skill/storm-rain.png"
"Convocation","convocation","gem/skill/convocation.png"
"Lacerate of Haemorrhage","lacerate-of-haemorrhage","gem/skill/lacerate-of-haemorrhage.png"
"Storm Call","storm-call","gem/skill/storm-call.png"
"Frostbite","frostbite","gem/skill/frostbite.png"
"Bane of Condemnation","bane-of-condemnation","gem/skill/bane-of-condemnation.png"
"Blade Blast of Dagger Detonation","blade-blast-of-dagger-detonation","gem/skill/blade-blast-of-dagger-detonation.png"
"Consecrated Path of Endurance","consecrated-path-of-endurance","gem/skill/consecrated-path-of-endurance.png"
"Explosive Trap","explosive-trap","gem/skill/explosive-trap.png"
"Flammability","flammability","gem/skill/flammability.png"
"Stormbind of Teleportation","stormbind-of-teleportation","gem/skill/stormbind-of-teleportation.png"
"Animate Guardian of Smiting","animate-guardian-of-smiting","gem/skill/animate-guardian-of-smiting.png"
"Spirit Offering","spirit-offering","gem/skill/spirit-offering.png"
"Bodyswap","bodyswap","gem/skill/bodyswap.png"
"Artillery Ballista of Focus Fire","artillery-ballista-of-focus-fire","gem/skill/artillery-ballista-of-focus-fire.png"
"Bane","bane","gem/skill/bane.png"
"Siege Ballista of Splintering","siege-ballista-of-splintering","gem/skill/siege-ballista-of-splintering.png"
"Earthquake of Amplification","earthquake-of-amplification","gem/skill/earthquake-of-amplification.png"
"Crackling Lance of Disintegration","crackling-lance-of-disintegration","gem/skill/crackling-lance-of-disintegration.png"
"Penance Brand of Conduction","penance-brand-of-conduction","gem/skill/penance-brand-of-conduction.png"
"Exsanguinate","exsanguinate","gem/skill/exsanguinate.png"
"Divine Ire","divine-ire","gem/skill/divine-ire.png"
"Zealotry","zealotry","gem/skill/zealotry.png"
"Glacial Cascade of the Fissure","glacial-cascade-of-the-fissure","gem/skill/glacial-cascade-of-the-fissure.png"
"Blood and Sand","blood-and-sand","gem/skill/blood-and-sand.png"
"Bear Trap of Skewers","bear-trap-of-skewers","gem/skill/bear-trap-of-skewers.png"
"Earthshatter of Fragility","earthshatter-of-fragility","gem/skill/earthshatter-of-fragility.png"
"Consecrated Path","consecrated-path","gem/skill/consecrated-path.png"
"Reave","reave","gem/skill/reave.png"
"Clarity","clarity","gem/skill/clarity.png"
"Volcanic Fissure","volcanic-fissure","gem/skill/volcanic-fissure.png"
"Glacial Hammer of Shattering","glacial-hammer-of-shattering","gem/skill/glacial-hammer-of-shattering.png"
"Blazing Salvo","blazing-salvo","gem/skill/blazing-salvo.png"
"Lightning Spire Trap of Zapping","lightning-spire-trap-of-zapping","gem/skill/lightning-spire-trap-of-zapping.png"
"Bladefall","bladefall","gem/skill/bladefall.png"
"Kinetic Blast of Clustering","kinetic-blast-of-clustering","gem/skill/kinetic-blast-of-clustering.png"
"Somatic Shell","somatic-shell","gem/skill/somatic-shell.png"
"Dash","dash","gem/skill/dash.png"
"Summon Stone Golem of Hordes","summon-stone-golem-of-hordes","gem/skill/summon-stone-golem-of-hordes.png"
"Smite","smite","gem/skill/smite.png"
"Molten Strike","molten-strike","gem/skill/molten-strike.png"
"Incinerate of Expanse","incinerate-of-expanse","gem/skill/incinerate-of-expanse.png"
"Immortal Call","immortal-call","gem/skill/immortal-call.png"
"Fireball","fireball","gem/skill/fireball.png"
"Temporal Chains","temporal-chains","gem/skill/temporal-chains.png"
"Bladestorm of Uncertainty","bladestorm-of-uncertainty","gem/skill/bladestorm-of-uncertainty.png"
"Spark","spark","gem/skill/spark.png"
"Burning Arrow of Vigour","burning-arrow-of-vigour","gem/skill/burning-arrow-of-vigour.png"
"Wave of Conviction","wave-of-conviction","gem/skill/wave-of-conviction.png"
"Essence Drain of Desperation","essence-drain-of-desperation","gem/skill/essence-drain-of-desperation.png"
"Blade Flurry","blade-flurry","gem/skill/blade-flurry.png"
"Crushing Fist","crushing-fist","gem/skill/crushing-fist.png"
"Bear Trap","bear-trap","gem/skill/bear-trap.png"
"Spectral Shield Throw","spectral-shield-throw","gem/skill/spectral-shield-throw.png"
"Lancing Steel of Spraying","lancing-steel-of-spraying","gem/skill/lancing-steel-of-spraying.png"
"Ball Lightning of Orbiting","ball-lightning-of-orbiting","gem/skill/ball-lightning-of-orbiting.png"
"Sunder","sunder","gem/skill/sunder.png"
"Exsanguinate of Transmission","exsanguinate-of-transmission","gem/skill/exsanguinate-of-transmission.png"
"Ball Lightning","ball-lightning","gem/skill/ball-lightning.png"
"Scourge Arrow","scourge-arrow","gem/skill/scourge-arrow.png"
"Raise Spectre","raise-spectre","gem/skill/raise-spectre.png"
"Blade Trap of Laceration","blade-trap-of-laceration","gem/skill/blade-trap-of-laceration.png"
"Snipe","snipe","gem/skill/snipe.png"
"Desecrate","desecrate","gem/skill/desecrate.png"
"Arctic Armour","arctic-armour","gem/skill/arctic-armour.png"
"Cleave","cleave","gem/skill/cleave.png"
"Despair","despair","gem/skill/despair.png"
"Shattering Steel","shattering-steel","gem/skill/shattering-steel.png"
"Flesh and Stone","flesh-and-stone","gem/skill/flesh-and-stone.png"
"Glacial Cascade","glacial-cascade","gem/skill/glacial-cascade.png"
"Ethereal Knives","ethereal-knives","gem/skill/ethereal-knives.png"
"Infernal Blow","infernal-blow","gem/skill/infernal-blow.png"
"Animate Weapon of Ranged Arms","animate-weapon-of-ranged-arms","gem/skill/animate-weapon-of-ranged-arms.png"
"Armageddon Brand of Volatility","armageddon-brand-of-volatility","gem/skill/armageddon-brand-of-volatility.png"
"Precision","precision","gem/skill/precision.png"
"Flicker Strike","flicker-strike","gem/skill/flicker-strike.png"
"Bone Offering","bone-offering","gem/skill/bone-offering.png"
"Frost Bomb of Instability","frost-bomb-of-instability","gem/skill/frost-bomb-of-instability.png"
"Absolution of Inspiring","absolution-of-inspiring","gem/skill/absolution-of-inspiring.png"
"Glacial Shield Swipe","glacial-shield-swipe","gem/skill/glacial-shield-swipe.png"
"Lancing Steel","lancing-steel","gem/skill/lancing-steel.png"
"Toxic Rain of Sporeburst","toxic-rain-of-sporeburst","gem/skill/toxic-rain-of-sporeburst.png"
"Bladefall of Volleys","bladefall-of-volleys","gem/skill/bladefall-of-volleys.png"
"Raise Zombie","raise-zombie","gem/skill/raise-zombie.png"
"Essence Drain","essence-drain","gem/skill/essence-drain.png"
"Frozen Legion of Rallying","frozen-legion-of-rallying","gem/skill/frozen-legion-of-rallying.png"
"Lightning Tendrils","lightning-tendrils","gem/skill/lightning-tendrils.png"
"Forbidden Rite","forbidden-rite","gem/skill/forbidden-rite.png"
"Firestorm of Meteors","firestorm-of-meteors","gem/skill/firestorm-of-meteors.png"
"Petrified Blood","petrified-blood","gem/skill/petrified-blood.png"
"Summon Ice Golem of Shattering","summon-ice-golem-of-shattering","gem/skill/summon-ice-golem-of-shattering.png"
"Storm Brand","storm-brand","gem/skill/storm-brand.png"
"Ground Slam of Earthshaking","ground-slam-of-earthshaking","gem/skill/ground-slam-of-earthshaking.png"
"Autoexertion","autoexertion","gem/skill/autoexertion.png"
"Galvanic Field of Intensity","galvanic-field-of-intensity","gem/skill/galvanic-field-of-intensity.png"
"Ice Nova","ice-nova","gem/skill/ice-nova.png"
"Summon Skeletons of Archers","summon-skeletons-of-archers","gem/skill/summon-skeletons-of-archers.png"
"Ice Nova of Frostbolts","ice-nova-of-frostbolts","gem/skill/ice-nova-of-frostbolts.png"
"Shattering Steel of Ammunition","shattering-steel-of-ammunition","gem/skill/shattering-steel-of-ammunition.png"
"Animate Guardian","animate-guardian","gem/skill/animate-guardian.png"
"Herald of Thunder","herald-of-thunder","gem/skill/herald-of-thunder.png"
"Ice Crash","ice-crash","gem/skill/ice-crash.png"
"Summon Holy Relic of Conviction","summon-holy-relic-of-conviction","gem/skill/summon-holy-relic-of-conviction.png"
"Volcanic Fissure of Snaking","volcanic-fissure-of-snaking","gem/skill/volcanic-fissure-of-snaking.png"
"Pestilent Strike","pestilent-strike","gem/skill/pestilent-strike.png"
"Flicker Strike of Power","flicker-strike-of-power","gem/skill/flicker-strike-of-power.png"
"Lightning Spire Trap","lightning-spire-trap","gem/skill/lightning-spire-trap.png"
"Blink Arrow of Prismatic Clones","blink-arrow-of-prismatic-clones","gem/skill/blink-arrow-of-prismatic-clones.png"
"Flameblast of Contraction","flameblast-of-contraction","gem/skill/flameblast-of-contraction.png"
"Summon Chaos Golem of Hordes","summon-chaos-golem-of-hordes","gem/skill/summon-chaos-golem-of-hordes.png"
"Kinetic Rain","kinetic-rain","gem/skill/kinetic-rain.png"
"Shrapnel Ballista of Steel","shrapnel-ballista-of-steel","gem/skill/shrapnel-ballista-of-steel.png"
"Anger","anger","gem/skill/anger.png"
"Cleave of Rage","cleave-of-rage","gem/skill/cleave-of-rage.png"
"Flame Dash","flame-dash","gem/skill/flame-dash.png"
"Wild Strike","wild-strike","gem/skill/wild-strike.png"
"Ice Nova of Deep Freeze","ice-nova-of-deep-freeze","gem/skill/ice-nova-of-deep-freeze.png"
"Enduring Cry","enduring-cry","gem/skill/enduring-cry.png"
"Vampiric Link","vampiric-link","gem/skill/vampiric-link.png"
"Conductivity","conductivity","gem/skill/conductivity.png"
"Volatile Dead","volatile-dead","gem/skill/volatile-dead.png"
"Frenzy of Onslaught","frenzy-of-onslaught","gem/skill/frenzy-of-onslaught.png"
"Intimidating Cry","intimidating-cry","gem/skill/intimidating-cry.png"
"Forbidden Rite of Soul Sacrifice","forbidden-rite-of-soul-sacrifice","gem/skill/forbidden-rite-of-soul-sacrifice.png"
"Hexblast of Havoc","hexblast-of-havoc","gem/skill/hexblast-of-havoc.png"
"Temporal Rift","temporal-rift","gem/skill/temporal-rift.png"
"Boneshatter of Carnage","boneshatter-of-carnage","gem/skill/boneshatter-of-carnage.png"
"Rain of Arrows","rain-of-arrows","gem/skill/rain-of-arrows.png"
"Swordstorm","swordstorm","gem/skill/swordstorm.png"
"Blood Rage","blood-rage","gem/skill/blood-rage.png"
"Molten Shell","molten-shell","gem/skill/molten-shell.png"
"Righteous Fire of Arcane Devotion","righteous-fire-of-arcane-devotion","gem/skill/righteous-fire-of-arcane-devotion.png"
"Blade Vortex of the Scythe","blade-vortex-of-the-scythe","gem/skill/blade-vortex-of-the-scythe.png"
"Vengeful Cry","vengeful-cry","gem/skill/vengeful-cry.png"
"Frost Blades of Katabasis","frost-blades-of-katabasis","gem/skill/frost-blades-of-katabasis.png"
"Artillery Ballista","artillery-ballista","gem/skill/artillery-ballista.png"
"Eye of Winter of Finality","eye-of-winter-of-finality","gem/skill/eye-of-winter-of-finality.png"
"Siphoning Trap","siphoning-trap","gem/skill/siphoning-trap.png"
"Penance Brand","penance-brand","gem/skill/penance-brand.png"
"Volatile Dead of Seething","volatile-dead-of-seething","gem/skill/volatile-dead-of-seething.png"
"Elemental Weakness","elemental-weakness","gem/skill/elemental-weakness.png"
"Withering Step","withering-step","gem/skill/withering-step.png"
"Devouring Totem","devouring-totem","gem/skill/devouring-totem.png"
"Creeping Frost","creeping-frost","gem/skill/creeping-frost.png"
"Spark of Unpredictability","spark-of-unpredictability","gem/skill/spark-of-unpredictability.png"
"Bladestorm","bladestorm","gem/skill/bladestorm.png"
"Ethereal Knives of the Massacre","ethereal-knives-of-the-massacre","gem/skill/ethereal-knives-of-the-massacre.png"
"Ball Lightning of Static","ball-lightning-of-static","gem/skill/ball-lightning-of-static.png"
"Conflagration","conflagration","gem/skill/conflagration.png"
"Spectral Throw","spectral-throw","gem/skill/spectral-throw.png"
"Frozen Legion","frozen-legion","gem/skill/frozen-legion.png"
"Blight of Atrophy","blight-of-atrophy","gem/skill/blight-of-atrophy.png"
"Spectral Helix","spectral-helix","gem/skill/spectral-helix.png"
"Wither","wither","gem/skill/wither.png"
"Toxic Rain of Withering","toxic-rain-of-withering","gem/skill/toxic-rain-of-withering.png"
"Explosive Concoction of Destruction","explosive-concoction-of-destruction","gem/skill/explosive-concoction-of-destruction.png"
"Frostblink","frostblink","gem/skill/frostblink.png"
"Purifying Flame of Revelations","purifying-flame-of-revelations","gem/skill/purifying-flame-of-revelations.png"
"Summon Flame Golem of Hordes","summon-flame-golem-of-hordes","gem/skill/summon-flame-golem-of-hordes.png"
"Lightning Warp","lightning-warp","gem/skill/lightning-warp.png"
"Explosive Trap of Magnitude","explosive-trap-of-magnitude","gem/skill/explosive-trap-of-magnitude.png"
"Ice Spear of Splitting","ice-spear-of-splitting","gem/skill/ice-spear-of-splitting.png"
"Poacher's Mark","poachers-mark","gem/skill/poachers-mark.png"
"Arc of Surging","arc-of-surging","gem/skill/arc-of-surging.png"
"Plague Bearer","plague-bearer","gem/skill/plague-bearer.png"
"Spellslinger","spellslinger","gem/skill/spellslinger.png"
"Detonate Dead of Scavenging","detonate-dead-of-scavenging","gem/skill/detonate-dead-of-scavenging.png"
"Cyclone","cyclone","gem/skill/cyclone.png"
"Lightning Strike","lightning-strike","gem/skill/lightning-strike.png"
"Arcane Cloak","arcane-cloak","gem/skill/arcane-cloak.png"
"Contagion of Subsiding","contagion-of-subsiding","gem/skill/contagion-of-subsiding.png"
"Lacerate of Butchering","lacerate-of-butchering","gem/skill/lacerate-of-butchering.png"
"Barrage of Volley Fire","barrage-of-volley-fire","gem/skill/barrage-of-volley-fire.png"
"Lightning Tendrils of Eccentricity","lightning-tendrils-of-eccentricity","gem/skill/lightning-tendrils-of-eccentricity.png"
"Splitting Steel of Ammunition","splitting-steel-of-ammunition","gem/skill/splitting-steel-of-ammunition.png"
"Unearth","unearth","gem/skill/unearth.png"
"Punishment","punishment","gem/skill/punishment.png"
"Dread Banner","dread-banner","gem/skill/dread-banner.png"
"Whirling Blades","whirling-blades","gem/skill/whirling-blades.png"
"Leap Slam of Groundbreaking","leap-slam-of-groundbreaking","gem/skill/leap-slam-of-groundbreaking.png"
"Absolution","absolution","gem/skill/absolution.png"
"Chain Hook","chain-hook","gem/skill/chain-hook.png"
"Purity of Fire","purity-of-fire","gem/skill/purity-of-fire.png"
"Burning Arrow","burning-arrow","gem/skill/burning-arrow.png"
"Energy Blade","energy-blade","gem/skill/energy-blade.png"
"Divine Ire of Holy Lightning","divine-ire-of-holy-lightning","gem/skill/divine-ire-of-holy-lightning.png"
"Charged Dash","charged-dash","gem/skill/charged-dash.png"
"Mirror Arrow","mirror-arrow","gem/skill/mirror-arrow.png"
"Pyroclast Mine","pyroclast-mine","gem/skill/pyroclast-mine.png"
"Rejuvenation Totem","rejuvenation-totem","gem/skill/rejuvenation-totem.png"
"Lightning Arrow","lightning-arrow","gem/skill/lightning-arrow.png"
"Tectonic Slam of Cataclysm","tectonic-slam-of-cataclysm","gem/skill/tectonic-slam-of-cataclysm.png"
"Alchemist's Mark","alchemists-mark","gem/skill/alchemists-mark.png"
"Ice Crash of Cadence","ice-crash-of-cadence","gem/skill/ice-crash-of-cadence.png"
"Battlemage's Cry","battlemages-cry","gem/skill/battlemages-cry.png"
"Herald of Ash","herald-of-ash","gem/skill/herald-of-ash.png"
"Lightning Tendrils of Escalation","lightning-tendrils-of-escalation","gem/skill/lightning-tendrils-of-escalation.png"
"Ice Trap","ice-trap","gem/skill/ice-trap.png"
"Portal","portal","gem/skill/portal.png"
"Rallying Cry","rallying-cry","gem/skill/rallying-cry.png"
"Double Strike","double-strike","gem/skill/double-strike.png"
"Summon Raging Spirit","summon-raging-spirit","gem/skill/summon-raging-spirit.png"
"Void Sphere of Rending","void-sphere-of-rending","gem/skill/void-sphere-of-rending.png"
"Righteous Fire","righteous-fire","gem/skill/righteous-fire.png"
"Haste","haste","gem/skill/haste.png"
"Purity of Ice","purity-of-ice","gem/skill/purity-of-ice.png"
"Freezing Pulse","freezing-pulse","gem/skill/freezing-pulse.png"
"Cremation","cremation","gem/skill/cremation.png"
"Ancestral Cry","ancestral-cry","gem/skill/ancestral-cry.png"
"Divine Ire of Disintegration","divine-ire-of-disintegration","gem/skill/divine-ire-of-disintegration.png"
"Kinetic Rain of Impact","kinetic-rain-of-impact","gem/skill/kinetic-rain-of-impact.png"
"Holy Flame Totem","holy-flame-totem","gem/skill/holy-flame-totem.png"
"Wintertide Brand","wintertide-brand","gem/skill/wintertide-brand.png"
"Incinerate","incinerate","gem/skill/incinerate.png"
"Mirror Arrow of Bombarding Clones","mirror-arrow-of-bombarding-clones","gem/skill/mirror-arrow-of-bombarding-clones.png"
"Detonate Dead","detonate-dead","gem/skill/detonate-dead.png"
"Summon Raging Spirit of Enormity","summon-raging-spirit-of-enormity","gem/skill/summon-raging-spirit-of-enormity.png"
"Heavy Strike","heavy-strike","gem/skill/heavy-strike.png"
"Caustic Arrow","caustic-arrow","gem/skill/caustic-arrow.png"
"Summon Stone Golem","summon-stone-golem","gem/skill/summon-stone-golem.png"
"Earthquake","earthquake","gem/skill/earthquake.png"
"Summon Skitterbots","summon-skitterbots","gem/skill/summon-skitterbots.png"
"Summon Skeletons","summon-skeletons","gem/skill/summon-skeletons.png"
"Split Arrow of Splitting","split-arrow-of-splitting","gem/skill/split-arrow-of-splitting.png"
"Shock Nova","shock-nova","gem/skill/shock-nova.png"
"Herald of Purity","herald-of-purity","gem/skill/herald-of-purity.png"
"Detonate Dead of Chain Reaction","detonate-dead-of-chain-reaction","gem/skill/detonate-dead-of-chain-reaction.png"
"Contagion","contagion","gem/skill/contagion.png"
"Decoy Totem","decoy-totem","gem/skill/decoy-totem.png"
"Galvanic Field","galvanic-field","gem/skill/galvanic-field.png"
"Summon Holy Relic","summon-holy-relic","gem/skill/summon-holy-relic.png"
"Earthshatter","earthshatter","gem/skill/earthshatter.png"
"Dark Pact","dark-pact","gem/skill/dark-pact.png"
"Venom Gyre","venom-gyre","gem/skill/venom-gyre.png"
"Blight","blight","gem/skill/blight.png"
"Viper Strike","viper-strike","gem/skill/viper-strike.png"
"Orb of Storms","orb-of-storms","gem/skill/orb-of-storms.png"
"Splitting Steel","splitting-steel","gem/skill/splitting-steel.png"
"Seismic Cry","seismic-cry","gem/skill/seismic-cry.png"
"Molten Strike of the Zenith","molten-strike-of-the-zenith","gem/skill/molten-strike-of-the-zenith.png"
"Puncture","puncture","gem/skill/puncture.png"
"Frostbolt","frostbolt","gem/skill/frostbolt.png"
"Frost Bomb of Forthcoming","frost-bomb-of-forthcoming","gem/skill/frost-bomb-of-forthcoming.png"
"Icicle Mine","icicle-mine","gem/skill/icicle-mine.png"
"Summon Lightning Golem","summon-lightning-golem","gem/skill/summon-lightning-golem.png"
"Vitality","vitality","gem/skill/vitality.png"
"Ice Shot","ice-shot","gem/skill/ice-shot.png"
"Blast Rain","blast-rain","gem/skill/blast-rain.png"
"Summon Ice Golem","summon-ice-golem","gem/skill/summon-ice-golem.png"
"Purity of Elements","purity-of-elements","gem/skill/purity-of-elements.png"
"Protective Link","protective-link","gem/skill/protective-link.png"
"Sigil of Power","sigil-of-power","gem/skill/sigil-of-power.png"
"Tornado of Elemental Turbulence","tornado-of-elemental-turbulence","gem/skill/tornado-of-elemental-turbulence.png"
"Purifying Flame","purifying-flame","gem/skill/purifying-flame.png"
"Power Siphon of the Archmage","power-siphon-of-the-archmage","gem/skill/power-siphon-of-the-archmage.png"
"Flame Dash of Return","flame-dash-of-return","gem/skill/flame-dash-of-return.png"
"War Banner","war-banner","gem/skill/war-banner.png"
"Winter Orb","winter-orb","gem/skill/winter-orb.png"
"Holy Flame Totem of Ire","holy-flame-totem-of-ire","gem/skill/holy-flame-totem-of-ire.png"
"Smite of Divine Judgement","smite-of-divine-judgement","gem/skill/smite-of-divine-judgement.png"
"Seismic Trap of Swells","seismic-trap-of-swells","gem/skill/seismic-trap-of-swells.png"
"Storm Rain of the Fence","storm-rain-of-the-fence","gem/skill/storm-rain-of-the-fence.png"
"Viper Strike of the Mamba","viper-strike-of-the-mamba","gem/skill/viper-strike-of-the-mamba.png"
"Soulrend","soulrend","gem/skill/soulrend.png"
"Contagion of Transference","contagion-of-transference","gem/skill/contagion-of-transference.png"
"Warlord's Mark","warlords-mark","gem/skill/warlords-mark.png"
"Detonate Mines","detonate-mines","gem/skill/detonate-mines.png"
"Galvanic Arrow","galvanic-arrow","gem/skill/galvanic-arrow.png"
"Flesh Offering","flesh-offering","gem/skill/flesh-offering.png"
"Searing Bond","searing-bond","gem/skill/searing-bond.png"
"Reap","reap","gem/skill/reap.png"
"Poisonous Concoction","poisonous-concoction","gem/skill/poisonous-concoction.png"
"Bodyswap of Sacrifice","bodyswap-of-sacrifice","gem/skill/bodyswap-of-sacrifice.png"
"General's Cry","generals-cry","gem/skill/generals-cry.png"
"Raise Zombie of Falling","raise-zombie-of-falling","gem/skill/raise-zombie-of-falling.png"
"Enfeeble","enfeeble","gem/skill/enfeeble.png"
"Shield Charge","shield-charge","gem/skill/shield-charge.png"
"Cobra Lash","cobra-lash","gem/skill/cobra-lash.png"
"Summon Carrion Golem of Scavenging","summon-carrion-golem-of-scavenging","gem/skill/summon-carrion-golem-of-scavenging.png"
"Reave of Refraction","reave-of-refraction","gem/skill/reave-of-refraction.png"
"Spectral Shield Throw of Shattering","spectral-shield-throw-of-shattering","gem/skill/spectral-shield-throw-of-shattering.png"
"Barrage","barrage","gem/skill/barrage.png"
"Seismic Trap","seismic-trap","gem/skill/seismic-trap.png"
"Elemental Hit of the Spectrum","elemental-hit-of-the-spectrum","gem/skill/elemental-hit-of-the-spectrum.png"
"Smoke Mine","smoke-mine","gem/skill/smoke-mine.png"
"Cold Snap of Power","cold-snap-of-power","gem/skill/cold-snap-of-power.png"
"Intuitive Link","intuitive-link","gem/skill/intuitive-link.png"
"Sniper's Mark","snipers-mark","gem/skill/snipers-mark.png"
"Summon Reaper of Eviscerating","summon-reaper-of-eviscerating","gem/skill/summon-reaper-of-eviscerating.png"
"Artillery Ballista of Cross Strafe","artillery-ballista-of-cross-strafe","gem/skill/artillery-ballista-of-cross-strafe.png"
"Animate Weapon","animate-weapon","gem/skill/animate-weapon.png"
"Thunderstorm","thunderstorm","gem/skill/thunderstorm.png"
"Tornado Shot of Cloudburst","tornado-shot-of-cloudburst","gem/skill/tornado-shot-of-cloudburst.png"
"Fire Trap of Blasting","fire-trap-of-blasting","gem/skill/fire-trap-of-blasting.png"
"Galvanic Arrow of Surging","galvanic-arrow-of-surging","gem/skill/galvanic-arrow-of-surging.png"
"Perforate of Duality","perforate-of-duality","gem/skill/perforate-of-duality.png"
"Eye of Winter of Transience","eye-of-winter-of-transience","gem/skill/eye-of-winter-of-transience.png"
"Leap Slam","leap-slam","gem/skill/leap-slam.png"
"Shrapnel Ballista","shrapnel-ballista","gem/skill/shrapnel-ballista.png"
"Icicle Mine of Sabotage","icicle-mine-of-sabotage","gem/skill/icicle-mine-of-sabotage.png"
"Vortex","vortex","gem/skill/vortex.png"
"Ground Slam","ground-slam","gem/skill/ground-slam.png"
"Firestorm","firestorm","gem/skill/firestorm.png"
"Soulrend of the Spiral","soulrend-of-the-spiral","gem/skill/soulrend-of-the-spiral.png"
"Wall of Force","wall-of-force","gem/skill/wall-of-force.png"
"Raise Zombie of Slamming","raise-zombie-of-slamming","gem/skill/raise-zombie-of-slamming.png"
"Discharge of Misery","discharge-of-misery","gem/skill/discharge-of-misery.png"
"Lightning Spire Trap of Overloading","lightning-spire-trap-of-overloading","gem/skill/lightning-spire-trap-of-overloading.png"
"Dual Strike of Ambidexterity","dual-strike-of-ambidexterity","gem/skill/dual-strike-of-ambidexterity.png"
"Grace","grace","gem/skill/grace.png"
"Blade Blast","blade-blast","gem/skill/blade-blast.png"
"Raise Spectre of Transience","raise-spectre-of-transience","gem/skill/raise-spectre-of-transience.png"
"Dominating Blow of Inspiring","dominating-blow-of-inspiring","gem/skill/dominating-blow-of-inspiring.png"
"Dominating Blow","dominating-blow","gem/skill/dominating-blow.png"
